day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,9/20,9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,
2,5,D,92313,15,RB2105,Mianserin,50,9/20/2013,D5,7,0.8936,0.8148,0.006080952,,-0.005147619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,E,92313,15,RB2105,Mianserin,50,9/20/2013,E5,8,0.8958,0.7911,0.008558333,,-0.007466667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,F,92313,15,RB2105,Mianserin,50,9/20/2013,F5,2,0.8991,0.8436,0.009633333,,-0.003616667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,G,92313,15,RB2105,Mianserin,50,9/20/2013,G5,6,0.8912,0.8231,0.005311111,,-0.004622222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,H,92313,15,RB2105,Mianserin,50,9/20/2013,H5,4,0.9318,0.8686,0.006741667,,0.8686,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,A,92313,15,RB2105,Mianserin,50,9/20/2013,A6,7,0.8838,0.7971,0.007209524,,-0.00767619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,B,92313,15,RB2105,Mianserin,50,9/20/2013,B6,9,0.8868,0.7931,0.006385185,,-0.006414815,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,C,92313,15,RB2105,Mianserin,50,9/20/2013,C6,7,0.8663,0.7904,0.005666667,,-0.008633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,D,92313,15,RB2105,Mianserin,50,9/20/2013,D6,5,0.8962,0.821,0.007793333,,-0.005966667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,E,92313,15,RB2105,Mianserin,50,9/20/2013,E6,7,0.8942,0.8037,0.007752381,,-0.006733333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,F,92313,15,RB2105,Mianserin,50,9/20/2013,F6,7,0.8976,0.8003,0.00872381,,-0.007219048,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,G,92313,15,RB2105,Mianserin,50,9/20/2013,G6,8,0.8918,0.7993,0.007033333,,-0.006441667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,6,H,92313,15,RB2105,Mianserin,50,9/20/2013,H6,3,0.933,0.8655,0.010422222,,0.8655,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,A,92313,15,RB884,water,0,9/20/2013,A7,4,0.9176,0.8534,0.009108333,,0.000633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,B,92313,15,RB884,water,0,9/20/2013,B7,4,0.9209,0.8724,0.005183333,,0.005383333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,C,92313,15,RB884,water,0,9/20/2013,C7,8,0.8818,0.8057,0.006041667,,-0.005645833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,D,92313,15,RB884,water,0,9/20/2013,D7,8,0.9194,0.8487,0.005366667,,-0.000270833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,E,92313,15,RB884,water,0,9/20/2013,E7,4,0.9137,0.862,0.005983333,,0.002783333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,F,92313,15,RB884,water,0,9/20/2013,F7,10,0.8998,0.8123,0.005973333,,-0.003856667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,G,92313,15,RB884,water,0,9/20/2013,G7,10,0.9008,0.8164,0.005663333,,-0.003446667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,7,H,92313,15,RB884,water,0,9/20/2013,H7,10,0.9396,0.8509,0.006093333,,0.8509,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,A,92313,15,RB884,water,0,9/20/2013,A8,9,0.9015,0.8243,0.005492593,,-0.002951852,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,B,92313,15,RB884,water,0,9/20/2013,B8,11,0.9081,0.8206,0.005430303,,-0.002751515,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,C,92313,15,RB884,water,0,9/20/2013,C8,9,0.8769,0.7905,0.006514815,,-0.006707407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,D,92313,15,RB884,water,0,9/20/2013,D8,8,0.9114,0.8388,0.005604167,,-0.001508333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,E,92313,15,RB884,water,0,9/20/2013,E8,6,0.9039,0.8408,0.005888889,,-0.001677778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,8,F,92313,15,RB884,water,0,9/20/2013,F8,6,0.9,0.8324,0.006638889,,-0.003077778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
