day 0,,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
0,7,C,0,0,0,0,0,,C7,13,1.1342,1.0602,-0.00024359,,0.000982051,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,D,0,0,0,0,0,,D7,8,1.1301,1.0467,0.000779167,,-9.16667E-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,E,0,0,0,0,0,,E7,11,1.1337,1.0567,-1.51515E-05,,0.000842424,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,F,0,0,0,0,0,,F7,9,1.144,1.0832,-0.001818519,,0.003974074,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,G,0,0,0,0,0,,G7,11,1.1275,1.0303,0.001821212,,-0.001557576,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,7,H,0,0,no_worms,"10mgml, selflysis",0,,H7,0,1.1482,1.0968,0.0514,,1.0968,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,A,0,0,,,,,A8,7,1.1258,0.9895,0.008447619,,-0.00827619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,B,0,0,0,0,0,,B8,13,1.1059,0.9924,0.002794872,,-0.004233333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,C,0,0,0,0,0,,C8,10,1.0898,0.9781,0.003453333,,-0.006933333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,D,0,0,0,0,0,,D8,11,1.1107,1.0207,0.001166667,,-0.002430303,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,E,0,0,0,0,0,,E8,5,1.1322,1.086,-0.006193333,,0.007713333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,F,0,0,0,0,0,,F8,9,1.1259,1.0166,0.00357037,,-0.003425926,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,G,0,0,0,0,0,,G8,15,1.1421,1.0649,2.22222E-06,,0.001164444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,8,H,0,0,no_worms,"10mgml, selflysis",0,,H8,0,1.1256,1.0323,0.0933,,1.0323,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,A,0,0,,,,,A9,10,1.1363,1.0404,0.001873333,,-0.000703333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,B,0,0,0,0,0,,B9,10,1.1425,1.0632,0.00793,,0.10632,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,C,0,0,0,0,0,,C9,8,1.1456,1.06,0.0107,,0.1325,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,D,0,0,0,0,0,,D9,5,1.1415,1.0551,0.01728,,0.21102,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,E,0,0,0,0,0,,E9,14,1.136,1.0354,0.007185714,,0.073957143,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,F,0,0,0,0,0,,F9,12,1.1254,1.0603,0.005425,,0.088358333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,G,0,0,0,0,0,,G9,7,1.1089,1.0279,0.011571429,,0.146842857,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,9,H,0,0,no_worms,"10mgml, selflysis",0,,H9,0,1.1,1.0132,0.0868,,1.0132,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,A,0,0,,,,,A10,9,1.1207,1.0526,-0.001211111,,-0.001918519,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,B,0,0,0,0,0,,B10,7,1.1388,1.0571,0.000385714,,-0.00182381,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,C,0,0,0,0,0,,C10,8,1.1391,1.07,-0.0012375,,1.66667E-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,D,0,0,0,0,0,,D10,4,1.1273,1.0602,-0.002975,,-0.002416667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,E,0,0,0,0,0,,E10,12,1.121,0.9968,0.003766667,,-0.006088889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,F,0,0,0,0,0,,F10,5,1.1404,1.0768,-0.00308,,0.001386667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,G,0,0,0,0,0,,G10,12,1.1324,1.0374,0.001333333,,-0.002705556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,10,H,0,0,no_worms,10mgml+drug,0,,H10,0,1.1199,0.9665,0.1534,,0.9665,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,A,0,0,,,,,A11,4,1.1399,1.074,-0.003275,,0.001033333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,B,0,0,0,0,0,,B11,11,1.0976,0.9949,0.002154545,,-0.006815152,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,C,0,0,0,0,0,,C11,7,1.0971,1.0219,-0.000542857,,-0.006852381,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,D,0,0,0,0,0,,D11,5,1.1052,1.0197,0.0013,,-0.010033333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,E,0,0,0,0,0,,E11,13,1.1665,1.1431,-0.004276923,,0.005633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,F,0,0,0,0,0,,F11,9,1.1648,1.1426,-0.006311111,,0.008081481,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,G,0,0,0,0,0,,G11,7,1.1659,1.1459,-0.008428571,,0.010861905,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,11,H,0,0,no_worms,10mgml+drug,0,,H11,0,1.1646,1.1284,0.0362,,1.1284,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,A,0,0,,,,,A12,6,1.1695,1.1336,-0.007183333,,0.010622222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,B,0,0,0,0,0,,B12,6,1.1681,1.1318,-0.007116667,,0.010322222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,C,0,0,0,0,0,,C12,12,1.1858,1.1684,-0.005133333,,0.008211111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,D,0,0,0,0,0,,D12,9,1.1826,1.1726,-0.007666667,,0.011414815,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,E,0,0,0,0,0,,E12,7,1.1711,1.1562,-0.009157143,,0.012333333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,F,0,0,0,0,0,,F12,10,1.1526,1.104,-0.00304,,0.003413333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,G,0,0,0,0,0,,G12,10,1.1551,1.1072,-0.00311,,0.003733333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,12,H,0,0,no_worms,10mgml+drug,0,,H12,0,1.1621,1.1147,0.0474,,1.1147,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,day ,N0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
